Repository,Abstract,URL,Published At,SATD related predict,ground_truth,reason
facebook,"### React- Add `React.PureComponent` - a new base class to extend, replacing `react-addons-pure-render-mixin` now that mixins don't work with ES2015 classes. ([@spicyj](https://github.com/spicyj) in [#7195](https://github.com/facebook/react/pull/7195))- Add new warning when modifying `this.props.children`. ([@jimfb](https://github.com/jimfb) in [#7001](https://github.com/facebook/react/pull/7001))- Fixed issue with ref resolution order. ([@gaearon](https://github.com/gaearon) in [#7101](https://github.com/facebook/react/pull/7101))- Warn when mixin is undefined. ([@swaroopsm](https://github.com/swaroopsm) in [#6158](https://github.com/facebook/react/pull/6158))- Downgrade ""unexpected batch number"" invariant to a warning. ([@spicyj](https://github.com/spicyj) in [#7133](https://github.com/facebook/react/pull/7133))- Validate arguments to `oneOf` and `oneOfType` PropTypes sooner. ([@troydemonbreun](https://github.com/troydemonbreun) in [#6316](https://github.com/facebook/react/pull/6316))- Warn when calling PropTypes directly. ([@Aweary](https://github.com/Aweary) in [#7132](https://github.com/facebook/react/pull/7132), [#7194](https://github.com/facebook/react/pull/7194))- Improve warning when using Maps as children. ([@keyanzhang](https://github.com/keyanzhang) in [#7260](https://github.com/facebook/react/pull/7260))- Add additional type information to the `PropTypes.element` warning. ([@alexzherdev](https://github.com/alexzherdev) in [#7319](https://github.com/facebook/react/pull/7319))- Improve component identification in no-op `setState` warning. ([@keyanzhang](https://github.com/keyanzhang) in [#7326](https://github.com/facebook/react/pull/7326))### React DOM- Fix issue with nested server rendering. ([@Aweary](https://github.com/Aweary) in [#7033](https://github.com/facebook/react/pull/7033))- Add `xmlns`, `xmlnsXlink` to supported SVG attributes. ([@salzhrani](https://github.com/salzhrani) in [#6471](https://github.com/facebook/react/pull/6471))- Add `referrerPolicy` to supported HTML attributes. ([@Aweary](https://github.com/Aweary) in [#7274](https://github.com/facebook/react/pull/7274))- Fix issue resulting in `<input type=""range"">` initial value being rounded. ([@troydemonbreun](https://github.com/troydemonbreun) in [#7251](https://github.com/facebook/react/pull/7251))### React Test Renderer- Initial public release of package allowing more focused testing. Install with `npm install react-test-renderer`. ([@spicyj](https://github.com/spicyj) in [#6944](https://github.com/facebook/react/pull/6944), [#7258](https://github.com/facebook/react/pull/7258), [@iamdustan](https://github.com/iamdustan) in [#7362](https://github.com/facebook/react/pull/7362))### React Perf Add-on- Fix issue resulting in excessive warnings when encountering an internal measurement error. ([@sassanh](https://github.com/sassanh) in [#7299](https://github.com/facebook/react/pull/7299))### React TestUtils Add-on- Implement `type` property on for events created via `TestUtils.Simulate.*`. ([@yaycmyk](https://github.com/yaycmyk) in [#6154](https://github.com/facebook/react/pull/6154))- Fix crash when running TestUtils with the production build of React. ([@gaearon](https://github.com/gaearon) in [#7246](https://github.com/facebook/react/pull/7246))",https://api.github.com/repos/facebook/react/releases/3772823,2016-07-29T18:46:39Z,1,1,design debts
pytorch,Fix a build failure on s390x ([26233](https://github.com/pytorch/pytorch/pull/26233),https://api.github.com/repos/pytorch/pytorch/releases/20597721,2019-10-10T17:26:52Z,0,1,build debts
tensorflow,"Tensorflow code now produces 2 different pip packages: tensorflow_core containing all the code (in the future it will contain only the private implementation) and tensorflow which is a virtual pip package doing forwarding to tensorflow_core (and in the future will contain only the public API of tensorflow). We don't expect this to be breaking, unless you were importing directly from the implementation.  Removed the `freeze_graph` command line tool; `SavedModel` should be used in place of frozen graphs.",https://api.github.com/repos/tensorflow/tensorflow/releases/20360510,2019-09-30T17:47:54Z,1,1,req_debt
facebook,": React now depends on modern browsers features including `Promise`, `Symbol`, and `Object.assign`. If you support older browsers and devices such as Internet Explorer which do not provide modern browser features natively or have non-compliant implementations, consider including a global polyfill in your bundled application.### Scheduler (Experimenta",https://api.github.com/repos/facebook/react/releases/63062908,2022-03-29T17:22:34Z,1,1,Compatibility debts
numpy,"### Improved performance in integer division of NumPy arraysInteger division of NumPy arrays now uses[libdivide](https://libdivide.com/) when the divisor is a constant. Withthe usage of libdivide and other minor optimizations, there is a largespeedup. The `//` operator and `np.floor_divide` makes use of the newchanges.([gh17727](https://github.com/numpy/numpy/pull/17727))### Improve performance of `np.save` and `np.load` for small arrays`np.save` is now a lot faster for small arrays.`np.load` is also faster for small arrays, but only when serializingwith a version \>= `(3, 0)`.Both are done by removing checks that are only relevant for Python 2,while still maintaining compatibility with arrays which might have beencreated by Python 2.([gh18657](https://github.com/numpy/numpy/pull/18657))Chang",https://api.github.com/repos/numpy/numpy/releases/43474493,2021-05-24T16:38:20Z,1,1,algorithm_debt(Slow algorithm)
numpy,"A new extensible `numpy.random` module along with four selectable random numbergenerators and improved seeding designed for use in parallel processes has beenadded. The currently available :ref:`Bit Generators <bit_generator>` are`~mt19937.MT19937`, `~pcg64.PCG64`, `~philox.Philox`, and `~sfc64.SFC64`.``PCG64`` is the new default while ``MT19937`` is retained for backwardscompatibility. Note that the legacy random module is unchanged and is nowfrozen, your current results will not change. More information is available inthe :ref:`API change description <newordifferent>` and in the `toplevel view<numpy.random>` documentation.libFLA",https://api.github.com/repos/numpy/numpy/releases/18897243,2019-07-26T18:46:42Z,1,0,0
numpy,   NumPy now has a DLPack backend. DLPack provides a common interchange    format for array (tensor) dat,https://api.github.com/repos/numpy/numpy/releases/53946492,2021-11-23T20:09:59Z,0,0,0
twbs,**- #36461: Fix alert border radi,https://api.github.com/repos/twbs/bootstrap/releases/72344034,2022-07-19T15:47:21Z,0,0,0
facebook,Warn when `memo` or `forwardRef` components return `undefined`. ([@bvaughn](https://github.com/bvaughn) in [#19550](https://github.com/facebook/react/pull/19550,https://api.github.com/repos/facebook/react/releases/32833064,2020-10-20T20:45:11Z,0,0,0
tensorflow,`tf.contrib.distributions.MultivariateNormalFull` replaced by `tf.contrib.distributions.MultivariateNormalTriL`.,https://api.github.com/repos/tensorflow/tensorflow/releases/5943106,2017-04-04T21:30:33Z,0,0,0
twbs,**- #35447: Remove the now outdated build/svgo.y,https://api.github.com/repos/twbs/bootstrap/releases/66823120,2022-05-13T16:44:56Z,1,1,code_debt(deed code)
pytorch,torch::nn::Upsample / PixelShuffle ([28413](https://github.com/pytorch/pytorch/pull/28413)) ([28140](https://github.com/pytorch/pytorch/pull/28140)).### New torch::nn::functional functio,https://api.github.com/repos/pytorch/pytorch/releases/22877176,2020-01-16T00:03:49Z,0,0,0
angular,propagate `standalone` flag to runtime (#44973,https://api.github.com/repos/angular/angular/releases/68471016,2022-06-02T16:57:04Z,0,0,0
tensorflow,"C-API functions `TF_StringDecode`, `TF_StringEncode`, and `TF_StringEncodedSize` are no longer relevant and have been removed; see `core/platform/ctstring.h` for  string access/modification in C.",https://api.github.com/repos/tensorflow/tensorflow/releases/33375724,2020-11-02T21:57:54Z,1,1,code_debt(deed code)
angular,preserve trailing commas in code generated by standalone migration (#49533,https://api.github.com/repos/angular/angular/releases/96546209,2023-03-22T20:15:58Z,0,0,0
twbs,**- **New:** Added a new spinner loading componen,https://api.github.com/repos/twbs/bootstrap/releases/14663710,2018-12-21T17:05:58Z,0,0,0
twbs,**- #33841: Fix typo in scrollspy do,https://api.github.com/repos/twbs/bootstrap/releases/42912765,2021-05-13T16:27:03Z,1,1,code_bert(low code)
pytorch,Fix typo in `torch.load` docstring for the `f` parameter ([#49350](https://github.com/pytorch/pytorch/pull/49350,https://api.github.com/repos/pytorch/pytorch/releases/39280362,2021-03-04T20:44:39Z,1,1,documentation_debt
numpy,"Previously ``np.dtype([(u'name', float)])`` would raise a ``TypeError`` inPython 2, as only bytestrings were allowed in field names. Now any unicodestring field names will be encoded with the ``ascii`` codec, raising a``UnicodeEncodeError`` upon failure.This change makes it easier to write Python 2/3 compatible code using``from __future__ import unicode_literals``, which previously would causestring literal field names to raise a TypeError in Python 2.Comparison ufuncs accept ``dtype=object``, overriding the default ``bool",https://api.github.com/repos/numpy/numpy/releases/11592370,2018-06-21T17:01:13Z,0,1,compatibility_debt
twbs,**- #33734: Add missing test for clicking select option in a dropdown********## 🧰 Misc**,https://api.github.com/repos/twbs/bootstrap/releases/42499470,2021-05-05T19:41:11Z,1,1,test debts
numpy,"This means it behaves like a readonly dictionary, and has a new ``.values()``method and ``len()`` implementation.For python 3, this means that ``.iteritems()``, ``.iterkeys()`` have beendeprecated, and ``.keys()`` and ``.items()`` now return views and not lists.This is consistent with how the builtin ``dict`` type changed between python 2and python 3.Under certain conditions, ``nditer`` must be used in a context manag",https://api.github.com/repos/numpy/numpy/releases/12059706,2018-07-23T16:38:57Z,0,0,0
numpy,"`ufunc.reduce`, `sum`, `prod`, `min`, `max` allnow accept a ``where`` keyword argument, which can be used to tell whichelements to include in the reduction.  For reductions that do not have anidentity, it is necessary to also pass in an initial value (e.g.,``initial=np.inf`` for `min`).  For instance, the equivalent of`nansum` would be ``np.sum(a, where=~np.isnan(a))``.Timsort and radix sort have replaced mergesort for stable sorti",https://api.github.com/repos/numpy/numpy/releases/18897243,2019-07-26T18:46:42Z,0,0,0
tensorflow,"Generics (e.g., `Tensor<Integer>`) for improved type-safety    (courtesy @andrewcmyers).",https://api.github.com/repos/tensorflow/tensorflow/releases/8363957,2017-11-02T18:29:02Z,1,0,0
numpy,   ENH: Detect CPU features on FreeBSD/powerpc64,https://api.github.com/repos/numpy/numpy/releases/91397335,2023-02-05T20:16:57Z,0,0,0
facebook, React no longer throws if you return `undefined` from a component. This makes the allowed component return values consistent with values that are allowed in the middle of a component tree. We suggest to use a linter to prevent mistakes like forgetting a `return` statement before JS,https://api.github.com/repos/facebook/react/releases/63062908,2022-03-29T17:22:34Z,1,1,code_debt
facebook,Fix an incorrect `event.target` value for the `onChange` event in IE9. ([@nhunzaker](https://github.com/nhunzaker) in [#12976](https://github.com/facebook/react/pull/12976,https://api.github.com/repos/facebook/react/releases/11465289,2018-06-13T16:52:39Z,0,1,defect_debt
tensorflow,Renames `tf.distribute.experimental.CollectiveHints` to `tf.distribute.experimental.CommunicationOptions`.,https://api.github.com/repos/tensorflow/tensorflow/releases/33667328,2020-11-09T19:37:33Z,0,0,0
numpy,    2255387d9bc4c626b30b4b15d41360aa  numpy1.18.0rc1cp35cp35mmacosx_10_6_intel.whl    cebfd1b532cd5a0c389a12e0e9b9fc59  numpy1.18.0rc1cp35cp35mmanylinux1_i686.whl    837c58136102cfa1689e3ce6092a3fe9  numpy1.18.0rc1cp35cp35mmanylinux1_x86_64.whl    6dec034185665cb0968da09d1193da97  numpy1.18.0rc1cp35cp35mwin32.whl    d551b3da446160c3a76329916d4544d2  numpy1.18.0rc1cp35cp35mwin_amd64.whl    d39fad23c70d9e088328f51f989ceffe  numpy1.18.0rc1cp36cp36mmacosx_10_9_x86_64.whl    8b0ed4cdf265428bdaf3e8619c18754a  numpy1.18.0rc1cp36cp36mmanylinux1_i686.whl    aaa92422da55cb6e3136f89860239975  numpy1.18.0rc1cp36cp36mmanylinux1_x86_64.whl    2406854f74f825d95a95a671034eef3b  numpy1.18.0rc1cp36cp36mwin32.whl    f706077e4d9ef783c43eb11dabc08e1e  numpy1.18.0rc1cp36cp36mwin_amd64.whl    caaa53c0e5c8c1fac3af572b98569c0c  numpy1.18.0rc1cp37cp37mmacosx_10_9_x86_64.whl    b1c2decd9ac8c6acb5c0b75372c5bbe9  numpy1.18.0rc1cp37cp37mmanylinux1_i686.whl    575f399026a997e9af2c2108c1542b7f  numpy1.18.0rc1cp37cp37mmanylinux1_x86_64.whl    4d4bc961757251346c31dd6412961946  numpy1.18.0rc1cp37cp37mwin32.whl    df6cede6ee4d4f75e739771ae27920bb  numpy1.18.0rc1cp37cp37mwin_amd64.whl    eea97481a22b8ec1b486fe8dfcc4bbe4  numpy1.18.0rc1cp38cp38macosx_10_9_x86_64.whl    a7ecc50638b65934388803e0c16e01ab  numpy1.18.0rc1cp38cp38manylinux1_i686.whl    9626634ff55aba4c1f7726a969ef4e76  numpy1.18.0rc1cp38cp38manylinux1_x86_64.whl    4e6e1f36860da4b1f5cbe9874b71c6fc  numpy1.18.0rc1cp38cp38win32.whl    a75c35b50e1c39428ff42f6291337487  numpy1.18.0rc1cp38cp38win_amd64.whl    076bed609ce25b400c3fa028d67a0b63  numpy1.18.0rc1.tar.gz    2708c1b940227b917c088ad3b79183bf  numpy1.18.0rc1.zipSHA2,https://api.github.com/repos/numpy/numpy/releases/22015758,2019-12-06T02:14:03Z,0,0,0
pytorch,`F.cosine_similarity`: Improve numerical stability ([#31378](https://github.com/pytorch/pytorch/pull/31378,https://api.github.com/repos/pytorch/pytorch/releases/70696589,2022-06-28T16:48:06Z,1,1,algorithm_debt
numpy,"   BUG, SIMD: Fix memory overlap in ufunc comparison loo",https://api.github.com/repos/numpy/numpy/releases/87244731,2022-12-26T13:56:53Z,1,1,fix
